Fri Dec  5 18:10:01 UTC 2025 | CPU : 0.0% | MEM : 6.74613% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:31:05 UTC 2025 | CPU : 0.0% | MEM : 6.83346% | DISK : 1% | LATENCY : 19.8 msms
Fri Dec  5 18:31:06 UTC 2025 | CPU : 0.0% | MEM : 6.82667% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:31:08 UTC 2025 | CPU : 0.0% | MEM : 6.80401% | DISK : 1% | LATENCY : 18.8 msms
Fri Dec  5 18:31:10 UTC 2025 | CPU : 0.0% | MEM : 6.8003% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:31:11 UTC 2025 | CPU : 0.0% | MEM : 6.81909% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:31:13 UTC 2025 | CPU : 0.0% | MEM : 6.78874% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:31:15 UTC 2025 | CPU : 0.6% | MEM : 6.80482% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:31:16 UTC 2025 | CPU : 0.0% | MEM : 6.812% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:31:18 UTC 2025 | CPU : 0.0% | MEM : 6.81688% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:31:21 UTC 2025 | CPU : 0.0% | MEM : 6.83245% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:31:22 UTC 2025 | CPU : 0.0% | MEM : 6.84577% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:31:24 UTC 2025 | CPU : 0.0% | MEM : 6.83748% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:31:26 UTC 2025 | CPU : 0.0% | MEM : 6.80482% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:31:27 UTC 2025 | CPU : 0.0% | MEM : 6.78663% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:31:29 UTC 2025 | CPU : 0.0% | MEM : 6.80195% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:31:31 UTC 2025 | CPU : 0.0% | MEM : 6.79557% | DISK : 1% | LATENCY : 19.5 msms
Fri Dec  5 18:31:32 UTC 2025 | CPU : 0.0% | MEM : 6.79869% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:31:34 UTC 2025 | CPU : 0.6% | MEM : 6.78542% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:31:37 UTC 2025 | CPU : 0.0% | MEM : 6.79869% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:31:37 UTC 2025 | CPU : 0.0% | MEM : 6.79869% | DISK : 1% | LATENCY : 29.7 msms
Fri Dec  5 18:31:40 UTC 2025 | CPU : 0.0% | MEM : 6.87089% | DISK : 1% | LATENCY : 18.7 msms
Fri Dec  5 18:31:42 UTC 2025 | CPU : 0.0% | MEM : 6.88426% | DISK : 1% | LATENCY : 19.6 msms
Fri Dec  5 18:31:43 UTC 2025 | CPU : 0.0% | MEM : 6.87898% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:31:45 UTC 2025 | CPU : 0.0% | MEM : 6.90476% | DISK : 1% | LATENCY : 18.6 msms
Fri Dec  5 18:31:47 UTC 2025 | CPU : 0.6% | MEM : 6.89481% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:31:48 UTC 2025 | CPU : 0.6% | MEM : 6.90802% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:31:50 UTC 2025 | CPU : 0.0% | MEM : 6.88782% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:31:53 UTC 2025 | CPU : 0.0% | MEM : 6.90375% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:31:53 UTC 2025 | CPU : 0.0% | MEM : 6.91933% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:31:55 UTC 2025 | CPU : 0.0% | MEM : 6.89883% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:31:58 UTC 2025 | CPU : 0.0% | MEM : 6.8927% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:31:59 UTC 2025 | CPU : 0.0% | MEM : 6.91516% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:32:01 UTC 2025 | CPU : 0.0% | MEM : 6.89702% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:32:03 UTC 2025 | CPU : 0.0% | MEM : 6.91868% | DISK : 1% | LATENCY : 19.1 msms
Fri Dec  5 18:32:04 UTC 2025 | CPU : 0.6% | MEM : 6.92169% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:06 UTC 2025 | CPU : 0.0% | MEM : 6.90652% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:32:08 UTC 2025 | CPU : 0.0% | MEM : 6.89812% | DISK : 1% | LATENCY : 18.5 msms
Fri Dec  5 18:32:09 UTC 2025 | CPU : 0.0% | MEM : 6.89903% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:32:11 UTC 2025 | CPU : 0.0% | MEM : 6.90858% | DISK : 1% | LATENCY : 23.4 msms
Fri Dec  5 18:32:14 UTC 2025 | CPU : 0.0% | MEM : 6.89305% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:32:15 UTC 2025 | CPU : 0.0% | MEM : 6.90219% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:17 UTC 2025 | CPU : 0.0% | MEM : 6.89139% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:32:19 UTC 2025 | CPU : 0.0% | MEM : 6.89752% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:20 UTC 2025 | CPU : 0.0% | MEM : 6.89858% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:32:22 UTC 2025 | CPU : 0.0% | MEM : 6.89029% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:24 UTC 2025 | CPU : 0.0% | MEM : 6.88561% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:25 UTC 2025 | CPU : 0.0% | MEM : 6.89812% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:27 UTC 2025 | CPU : 0.0% | MEM : 6.89692% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:32:30 UTC 2025 | CPU : 0.0% | MEM : 6.8935% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:32:30 UTC 2025 | CPU : 0.0% | MEM : 6.88586% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:33 UTC 2025 | CPU : 0.0% | MEM : 6.89893% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:35 UTC 2025 | CPU : 0.0% | MEM : 6.89516% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:32:36 UTC 2025 | CPU : 0.0% | MEM : 6.89416% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:32:38 UTC 2025 | CPU : 0.6% | MEM : 6.86888% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:32:40 UTC 2025 | CPU : 0.0% | MEM : 6.87893% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:32:41 UTC 2025 | CPU : 0.0% | MEM : 6.89838% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:32:43 UTC 2025 | CPU : 0.0% | MEM : 6.90365% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:32:45 UTC 2025 | CPU : 0.0% | MEM : 6.88074% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:32:46 UTC 2025 | CPU : 0.0% | MEM : 6.92234% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:32:49 UTC 2025 | CPU : 0.0% | MEM : 6.87903% | DISK : 1% | LATENCY : 19.7 msms
Fri Dec  5 18:32:51 UTC 2025 | CPU : 0.0% | MEM : 6.88632% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:32:52 UTC 2025 | CPU : 0.6% | MEM : 6.88948% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:32:54 UTC 2025 | CPU : 0.0% | MEM : 6.90174% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:32:56 UTC 2025 | CPU : 0.0% | MEM : 6.89617% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:32:57 UTC 2025 | CPU : 0.0% | MEM : 6.8933% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:32:59 UTC 2025 | CPU : 0.0% | MEM : 6.88742% | DISK : 1% | LATENCY : 17.1 msms
Fri Dec  5 18:33:01 UTC 2025 | CPU : 0.0% | MEM : 6.89431% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:33:02 UTC 2025 | CPU : 0.0% | MEM : 6.88737% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:33:04 UTC 2025 | CPU : 0.0% | MEM : 6.89375% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:33:07 UTC 2025 | CPU : 0.0% | MEM : 6.88265% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:33:07 UTC 2025 | CPU : 0.0% | MEM : 6.89968% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:33:10 UTC 2025 | CPU : 0.0% | MEM : 6.89511% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:33:12 UTC 2025 | CPU : 0.0% | MEM : 6.8828% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:33:13 UTC 2025 | CPU : 0.0% | MEM : 6.87084% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:33:15 UTC 2025 | CPU : 0.0% | MEM : 6.88009% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:33:17 UTC 2025 | CPU : 0.0% | MEM : 6.87541% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:33:18 UTC 2025 | CPU : 0.0% | MEM : 6.88536% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:33:20 UTC 2025 | CPU : 0.0% | MEM : 6.85612% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:33:22 UTC 2025 | CPU : 0.0% | MEM : 6.86848% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:33:23 UTC 2025 | CPU : 0.0% | MEM : 6.89752% | DISK : 1% | LATENCY : 20.0 msms
Fri Dec  5 18:33:26 UTC 2025 | CPU : 0.0% | MEM : 6.88607% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:33:28 UTC 2025 | CPU : 0.0% | MEM : 6.88888% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:33:29 UTC 2025 | CPU : 0.0% | MEM : 6.86356% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:33:31 UTC 2025 | CPU : 0.6% | MEM : 6.88315% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:33:33 UTC 2025 | CPU : 0.0% | MEM : 6.79241% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:33:34 UTC 2025 | CPU : 0.0% | MEM : 6.80256% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:33:36 UTC 2025 | CPU : 0.0% | MEM : 6.82085% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:33:38 UTC 2025 | CPU : 0.0% | MEM : 6.81316% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:33:39 UTC 2025 | CPU : 0.0% | MEM : 6.82482% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:33:42 UTC 2025 | CPU : 0.0% | MEM : 6.81235% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:33:44 UTC 2025 | CPU : 0.0% | MEM : 6.79849% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:33:44 UTC 2025 | CPU : 0.0% | MEM : 6.83974% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:33:47 UTC 2025 | CPU : 0.0% | MEM : 6.82401% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:33:49 UTC 2025 | CPU : 0.0% | MEM : 6.82838% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:33:50 UTC 2025 | CPU : 0.0% | MEM : 6.86044% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:33:52 UTC 2025 | CPU : 0.0% | MEM : 6.82899% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:33:54 UTC 2025 | CPU : 0.0% | MEM : 6.83773% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:33:55 UTC 2025 | CPU : 0.0% | MEM : 6.85406% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:33:57 UTC 2025 | CPU : 0.0% | MEM : 6.81472% | DISK : 1% | LATENCY : 17.0 msms
Fri Dec  5 18:33:59 UTC 2025 | CPU : 0.0% | MEM : 6.81527% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:34:00 UTC 2025 | CPU : 0.0% | MEM : 6.82547% | DISK : 1% | LATENCY : 17.0 msms
Fri Dec  5 18:34:03 UTC 2025 | CPU : 0.6% | MEM : 6.85627% | DISK : 1% | LATENCY : 20.1 msms
Fri Dec  5 18:34:05 UTC 2025 | CPU : 0.0% | MEM : 6.85004% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:34:06 UTC 2025 | CPU : 0.0% | MEM : 6.84512% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:34:08 UTC 2025 | CPU : 0.0% | MEM : 6.821% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:34:10 UTC 2025 | CPU : 0.0% | MEM : 6.80904% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:34:11 UTC 2025 | CPU : 0.0% | MEM : 6.81602% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:34:13 UTC 2025 | CPU : 0.6% | MEM : 6.83662% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:34:15 UTC 2025 | CPU : 0.0% | MEM : 6.843% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:34:16 UTC 2025 | CPU : 0.6% | MEM : 6.85868% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:34:19 UTC 2025 | CPU : 0.0% | MEM : 6.84918% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:34:21 UTC 2025 | CPU : 0.0% | MEM : 6.84798% | DISK : 1% | LATENCY : 18.8 msms
Fri Dec  5 18:34:21 UTC 2025 | CPU : 0.0% | MEM : 6.86758% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:34:26 UTC 2025 | CPU : 0.0% | MEM : 6.87561% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:34:27 UTC 2025 | CPU : 0.0% | MEM : 6.88391% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:34:31 UTC 2025 | CPU : 0.0% | MEM : 6.88647% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:34:32 UTC 2025 | CPU : 0.6% | MEM : 6.88632% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:34:34 UTC 2025 | CPU : 0.0% | MEM : 6.85677% | DISK : 1% | LATENCY : Failms
Fri Dec  5 18:34:34 UTC 2025 Network Down Alert 
Fri Dec  5 18:34:36 UTC 2025 | CPU : 0.0% | MEM : 6.86763% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:34:37 UTC 2025 | CPU : 0.0% | MEM : 6.84803% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:34:39 UTC 2025 | CPU : 0.0% | MEM : 6.86225% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:34:42 UTC 2025 | CPU : 0.0% | MEM : 6.84341% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:34:43 UTC 2025 | CPU : 0.0% | MEM : 6.84778% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:34:45 UTC 2025 | CPU : 0.0% | MEM : 6.85727% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:34:47 UTC 2025 | CPU : 0.0% | MEM : 6.85778% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:34:48 UTC 2025 | CPU : 0.0% | MEM : 6.8619% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:34:50 UTC 2025 | CPU : 0.0% | MEM : 6.8634% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:34:52 UTC 2025 | CPU : 0.0% | MEM : 6.84391% | DISK : 1% | LATENCY : 18.7 msms
Fri Dec  5 18:34:53 UTC 2025 | CPU : 0.0% | MEM : 6.86039% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:34:55 UTC 2025 | CPU : 0.0% | MEM : 6.84878% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:34:58 UTC 2025 | CPU : 0.0% | MEM : 6.87119% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:34:58 UTC 2025 | CPU : 0.0% | MEM : 6.85848% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:35:01 UTC 2025 | CPU : 0.0% | MEM : 6.8628% | DISK : 1% | LATENCY : 19.2 msms
Fri Dec  5 18:35:03 UTC 2025 | CPU : 0.0% | MEM : 6.8414% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:35:04 UTC 2025 | CPU : 0.0% | MEM : 6.86039% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:06 UTC 2025 | CPU : 0.0% | MEM : 6.84079% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:35:08 UTC 2025 | CPU : 0.0% | MEM : 6.85597% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:35:09 UTC 2025 | CPU : 0.0% | MEM : 6.84029% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:11 UTC 2025 | CPU : 0.0% | MEM : 6.84019% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:35:14 UTC 2025 | CPU : 0.0% | MEM : 6.85386% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:35:14 UTC 2025 | CPU : 0.0% | MEM : 6.84295% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:35:16 UTC 2025 | CPU : 0.0% | MEM : 6.83401% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:19 UTC 2025 | CPU : 0.6% | MEM : 6.83713% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:35:20 UTC 2025 | CPU : 0.0% | MEM : 6.85325% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:35:22 UTC 2025 | CPU : 0.0% | MEM : 6.85959% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:35:24 UTC 2025 | CPU : 0.0% | MEM : 6.8529% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:25 UTC 2025 | CPU : 0.0% | MEM : 6.84105% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:35:27 UTC 2025 | CPU : 0.0% | MEM : 6.84466% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:29 UTC 2025 | CPU : 0.0% | MEM : 6.85557% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:30 UTC 2025 | CPU : 0.0% | MEM : 6.85692% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:32 UTC 2025 | CPU : 0.0% | MEM : 6.8734% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:35:35 UTC 2025 | CPU : 0.0% | MEM : 6.84356% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:35:35 UTC 2025 | CPU : 0.0% | MEM : 6.86099% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:35:38 UTC 2025 | CPU : 0.0% | MEM : 6.87491% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:35:40 UTC 2025 | CPU : 0.0% | MEM : 6.86285% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:35:41 UTC 2025 | CPU : 0.0% | MEM : 6.84441% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:43 UTC 2025 | CPU : 0.0% | MEM : 6.85451% | DISK : 1% | LATENCY : 18.3 msms
Fri Dec  5 18:35:45 UTC 2025 | CPU : 0.0% | MEM : 6.84004% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:35:46 UTC 2025 | CPU : 0.0% | MEM : 6.83692% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:35:48 UTC 2025 | CPU : 0.0% | MEM : 6.85341% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:35:51 UTC 2025 | CPU : 0.0% | MEM : 6.86396% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:35:51 UTC 2025 | CPU : 0.0% | MEM : 6.83185% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:35:53 UTC 2025 | CPU : 0.0% | MEM : 6.84687% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:35:56 UTC 2025 | CPU : 0.0% | MEM : 6.8414% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:35:57 UTC 2025 | CPU : 0.0% | MEM : 6.82688% | DISK : 1% | LATENCY : 28.5 msms
Fri Dec  5 18:35:59 UTC 2025 | CPU : 0.0% | MEM : 6.83125% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:36:01 UTC 2025 | CPU : 0.0% | MEM : 6.85411% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:36:02 UTC 2025 | CPU : 0.0% | MEM : 6.84999% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:36:04 UTC 2025 | CPU : 0.0% | MEM : 6.8624% | DISK : 1% | LATENCY : 19.3 msms
Fri Dec  5 18:36:06 UTC 2025 | CPU : 0.0% | MEM : 6.87175% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:36:07 UTC 2025 | CPU : 0.0% | MEM : 6.86139% | DISK : 1% | LATENCY : 17.1 msms
Fri Dec  5 18:36:09 UTC 2025 | CPU : 0.0% | MEM : 6.84014% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:36:12 UTC 2025 | CPU : 0.6% | MEM : 6.84969% | DISK : 1% | LATENCY : 18.9 msms
Fri Dec  5 18:36:12 UTC 2025 | CPU : 0.0% | MEM : 6.83275% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:36:15 UTC 2025 | CPU : 0.0% | MEM : 6.84833% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:36:17 UTC 2025 | CPU : 0.0% | MEM : 6.82014% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:36:18 UTC 2025 | CPU : 0.6% | MEM : 6.80185% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:36:20 UTC 2025 | CPU : 0.0% | MEM : 6.80356% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:36:22 UTC 2025 | CPU : 0.0% | MEM : 6.89235% | DISK : 1% | LATENCY : 18.6 msms
Fri Dec  5 18:36:23 UTC 2025 | CPU : 0.0% | MEM : 6.88667% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:36:25 UTC 2025 | CPU : 0.0% | MEM : 6.8937% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:36:28 UTC 2025 | CPU : 0.0% | MEM : 6.89064% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:36:28 UTC 2025 | CPU : 0.6% | MEM : 6.9033% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:36:31 UTC 2025 | CPU : 0.0% | MEM : 6.89818% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:36:33 UTC 2025 | CPU : 0.0% | MEM : 6.89878% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:36:34 UTC 2025 | CPU : 0.6% | MEM : 6.90797% | DISK : 1% | LATENCY : 20.2 msms
Fri Dec  5 18:36:36 UTC 2025 | CPU : 0.0% | MEM : 6.8938% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:36:38 UTC 2025 | CPU : 0.0% | MEM : 6.89677% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:36:39 UTC 2025 | CPU : 0.0% | MEM : 6.90667% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:36:41 UTC 2025 | CPU : 0.6% | MEM : 6.90164% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:36:43 UTC 2025 | CPU : 0.0% | MEM : 6.82587% | DISK : 1% | LATENCY : 18.6 msms
Fri Dec  5 18:36:44 UTC 2025 | CPU : 0.0% | MEM : 6.811% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:36:46 UTC 2025 | CPU : 0.0% | MEM : 6.83401% | DISK : 1% | LATENCY : 18.6 msms
Fri Dec  5 18:36:49 UTC 2025 | CPU : 0.0% | MEM : 6.82738% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:36:50 UTC 2025 | CPU : 0.0% | MEM : 6.81652% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:36:52 UTC 2025 | CPU : 0.0% | MEM : 6.82758% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:36:54 UTC 2025 | CPU : 0.0% | MEM : 6.83456% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:36:55 UTC 2025 | CPU : 0.0% | MEM : 6.8414% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:36:57 UTC 2025 | CPU : 0.0% | MEM : 6.82843% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:36:59 UTC 2025 | CPU : 0.0% | MEM : 6.83692% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:37:00 UTC 2025 | CPU : 0.0% | MEM : 6.82999% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:37:02 UTC 2025 | CPU : 0.0% | MEM : 6.81316% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:37:05 UTC 2025 | CPU : 0.0% | MEM : 6.81964% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:37:05 UTC 2025 | CPU : 0.0% | MEM : 6.82426% | DISK : 1% | LATENCY : 17.1 msms
Fri Dec  5 18:37:08 UTC 2025 | CPU : 0.0% | MEM : 6.8217% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:37:10 UTC 2025 | CPU : 0.6% | MEM : 6.84069% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:37:11 UTC 2025 | CPU : 0.0% | MEM : 6.8327% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:37:13 UTC 2025 | CPU : 0.0% | MEM : 6.83888% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:37:15 UTC 2025 | CPU : 0.0% | MEM : 6.83999% | DISK : 1% | LATENCY : 21.2 msms
Fri Dec  5 18:37:16 UTC 2025 | CPU : 0.0% | MEM : 6.82331% | DISK : 1% | LATENCY : 17.2 msms
